rank,title,year,country,genres,description,rating_kp,rating_imdb,votes_imdb
292,Грань будущего,2014,"США, Канада","фантастика, боевик, приключения","В недалёком будущем раса инопланетян вторгается на Землю. Никакая армия человечества не может им противостоять. Майор Уильям Кейдж умирает в бою, но случается невероятное — он оказывается во временной петле. Раз за разом Кейдж попадает в один и тот же бой, сражается и умирает снова и снова. И каждое повторяющееся сражение приближает его к разгадке того, как победить врага.",7.9,7.9,800000
293,Люди Икс: Дни минувшего будущего,2014,"Великобритания, США, Канада","фантастика, боевик, триллер, приключения","В недалёком будущем мутанты близки к истреблению роботами-охотниками на мутантов Стражами. Единственная надежда для мутантов выжить - предотвратить череду роковых событий, приведших к появлению Стражей. С помощью своих способностей, Китти Прайд перемещает сознание Росомахи в его молодое тело в 1973 год. В прошлом всё оказывается не так радужно: молодой Профессор Икс окончательно разочарован в своих идеях, Магнето содержится в тюрьме глубоко под землёй, а человечество не знает как реагировать на широкое появление мутантов...",7.7,7.9,786000
294,Гарри Поттер и узник Азкабана,2004,"Великобритания, США","фэнтези, приключения, семейный","Гарри, Рон и Гермиона возвращаются на третий курс школы чародейства и волшебства Хогвартс. На этот раз они должны раскрыть тайну узника, сбежавшего из тюрьмы Азкабан, чье пребывание на воле создает для Гарри смертельную опасность.",8.3,7.9,762000
295,Район №9,2009,"ЮАР, США, Новая Зеландия, Канада","фантастика, триллер, боевик, драма","Инопланетяне установили первый контакт с Землей. Люди были готовы ко всему — от враждебного вторжения до невероятного технологического прорыва. Ни того, ни другого не произошло. Пришельцы оказались беженцами со своей собственной планеты, и пока мировое сообщество решало, что с ними делать дальше, для них был организован временный лагерь в южноафриканском Районе №9.
Через 20 лет обычному госслужащему поручается задание: вручить инопланетным гостям ордера на выселение.",7.8,7.9,750000
296,Жизнь Пи,2012,"США, Тайвань, Великобритания, Канада, Индия, Франция","фэнтези, драма, приключения","Это история сына владельца одного индийского зоопарка, мальчика по имени Пи. Он познаёт мир, учится отстаивать свои принципы, ищет собственную дорогу к Богу, живя по канонам трёх конфессий, влюбляется… Но волей судьбы его семья вынуждена эмигрировать. На полпути между Индией и Канадой корабль терпит крушение, и Пи остаётся в шлюпке вместе с бенгальским тигром, гиеной, зеброй и орангутаном. Вокруг безбрежная водная гладь, а впереди — неизвестность...",7.8,7.9,698000
297,Богемская рапсодия,2018,"Великобритания, США","биография, музыка, драма","Чествование группы Queen, их музыки и их выдающегося вокалиста Фредди Меркьюри, который бросил вызов стереотипам и победил условности, чтобы стать одним из самых любимых артистов на планете. Фильм прослеживает головокружительный путь группы к успеху благодаря их культовым песням и революционному звуку, практически распад коллектива, поскольку образ жизни Меркьюри выходит из-под контроля, и их триумфальное воссоединение накануне концерта Live Aid, ставшим одним из величайших выступлений в истории рок-музыки.",8.0,7.9,641000
298,Звездный путь,2009,"США, Германия","фантастика, боевик, приключения","Когда Нерон с планеты Ромул приходит из будущего, чтобы отомстить Федерации, конкуренты Кирк и Спок должны объединиться, чтобы не дать ему разрушить все, что им дорого. Во время этого будоражащего путешествия, наполненного эффектными боями, юмором и космическими угрозами, новоиспеченные члены команды военного корабля «Энтерпрайз» смело встретятся лицом к лицу с невообразимыми опасностями.",7.8,7.9,637000
299,Хорошо быть тихоней,2012,США,драма,"История о Чарли, ученике старшей школы в Питтсбурге, стеснительном и непопулярном. На наших глазах Чарли взрослеет, меняется круг его общения, меняется его мнение о мире.",7.5,7.9,592000
300,Дитя человеческое,2006,"США, Великобритания, Япония","фантастика, триллер, драма","2027 год. Мир погряз в анархии, причиной которой стало массовое бесплодие. Над человечеством нависла угроза полного вымирания. Лишенный иллюзий бюрократ превращается в чемпиона гонки на выживание в Лондоне, раздираемом клановыми войнами противоборствующих группировок. Именно он встает на защиту «последней надежды человечества» - беременной женщины, которую надо доставить в безопасное место под присмотр врачей…",7.3,7.9,563000
301,Далласский клуб покупателей,2013,США,"драма, биография","Реальная история Рона Вудруфа, техасского электрика, у которого в 1985 году обнаружили СПИД. Врачи отвели ему всего 30 дней, но он не пожелал смириться со смертным приговором и сумел продлить свою жизнь, принимая нетрадиционные лекарства, а затем наладил подпольный бизнес по продаже их другим больным.",8.0,7.9,546000
302,Таинственная река,2003,"США, Австралия","триллер, драма, криминал, детектив","Джимми Маркум, Дейв Бойл и Шон Девин — неразлучные приятели с детства. Они вместе играют в хоккей, взрослея на знакомых неспокойных улицах Бостона. Уже взрослыми судьба сводит их вместе перед лицом трагедии: зверского убийства Кэтти, дочери Джимми.",7.8,7.9,520000
303,Хоббит: Нежданное путешествие,2012,"Новая Зеландия, США","фэнтези, приключения, боевик","Хоббит Бильбо Бэггинс пускается в грандиозный поход, целью которого является отвоевание утраченного королевства гномов Эребор у дракона Смауга. Совершенно неожиданно с хоббитом налаживает контакт волшебник Гэндальф Серый. Так Бильбо находит себя и присоединяется к компании тринадцати гномов, возглавляемых легендарным воином Торином Дубощитом. Их путешествие пройдёт через Дикий Край, предательские земли, населенные гоблинами и орками, смертоносными варгами, гигантскими пауками, меняющим шкуры народом и волшебниками.

И хотя их цель находится на Востоке, среди пустошей Одинокой Горы, сначала им придется выбраться из туннелей гоблинов, где Бильбо встретит существо, которое изменит его жизнь навсегда - Голлума.",8.1,7.8,924000
304,Первый мститель: Противостояние,2016,"США, Германия","фантастика, боевик","Мстители под руководством Капитана Америки оказываются участниками разрушительного инцидента, имеющего международный масштаб. Эти события заставляют правительство задуматься над тем, чтобы начать регулировать действия всех людей с особыми способностями, введя «Акт о регистрации супергероев», вынуждая их подчиняться ООН.

Видя в этом договоре нарушение гражданских прав и плевок на всё, во что он верит, Стив Роджерс открыто восстаёт против нового режима, ведя за собой группу героев, поддерживающих его мнение. В свою очередь, Тони Старк видит смысл в новом договоре и становится во главе героев, поддерживающих его. Всё это приводит к неизбежному расколу Мстителей и войне между сторонами. Сражаясь друг с другом, Старк и Роджерс не знают о том, что таинственный Барон Земо уже строит свои собственные планы, воспользовавшись расколом величайших героев Земли.",7.4,7.8,922000
305,Бэтмен,2022,США,"детектив, криминал, драма, боевик","После двух лет поисков правосудия на улицах Готэма Бэтмен становится для горожан олицетворением беспощадного возмездия. Когда в городе происходит серия жестоких нападений на высокопоставленных чиновников, улики приводят Брюса Уэйна в самые тёмные закоулки преступного мира, где он встречает Женщину-Кошку, Пингвина, Кармайна Фальконе и Загадочника. Теперь под прицелом оказывается сам Бэтмен, которому предстоит отличить друга от врага и восстановить справедливость во имя Готэма.",7.2,7.8,919000
306,Социальная сеть,2010,США,"драма, биография","Октябрьский вечер 2003 года. Студента Гарварда Марка Цукерберга бросает его девушка. Раздосадованный Марк, подогретый алкоголем, решает отомстить и публикует злобный и оскорбительный пост в адрес бывшей подруги. Но этого парню показалось мало. Он решает создать сайт, позволяющий сформировать рейтинг студенток по степени привлекательности. Марк взламывает базы данных различных общежитий, скачивает фотографии и всю необходимую информацию, используя алгоритм, предложенный его другом Эдуардо. После сбора данных Марк создаёт страницу facemash.com, где студенты могут проголосовать за одну из двух девушек, которая по их мнению является более привлекательной. Так начинается история создания одной из крупнейшей социальных сетей мира, которая впоследствии получит название Facebook.",7.7,7.8,815000
307,Прочь,2017,"США, Япония","ужасы, триллер, детектив","Знакомство с родителями подружки не предвещает молодому чернокожему фотографу из Нью-Йорка ничего хорошего, ведь семья девушки принадлежит к элитному белому обществу и живет в уединенном загородном доме. Если бы он только знал истинную причину своего приглашения, то немедленно бросился бы прочь.",7.2,7.8,810000
308,Дюнкерк,2017,"Великобритания, Нидерланды, Франция, США","триллер, боевик, драма, военный, история","Франция, Вторая мировая война. 400 тысяч британских солдат оказываются в окружении в Дюнкерке. Командование союзников пытается провести эвакуацию с моря, но корабли подвергаются постоянным авианалётам немцев, а французская армия вскоре не сможет сдерживать наступающие немецкие войска.",7.3,7.8,803000
309,007: Координаты «Скайфолл»,2012,"Великобритания, США, Турция, Китай","боевик, триллер, приключения","Преданность Бонда своей начальнице М оказывается под угрозой, когда всплывают неприятные тайны её прошлого. MI6 подвергается нападению, и агент 007 должен ликвидировать угрозу любой ценой.",7.4,7.8,770000
310,Драйв,2011,США,"криминал, драма, триллер","Великолепный водитель – при свете дня он выполняет каскадерские трюки на съёмочных площадках Голливуда, а по ночам ведет рискованную игру. Но один опасный контракт – и за его жизнь назначена награда. Теперь, чтобы остаться в живых и спасти свою очаровательную соседку, он должен делать то, что умеет лучше всего – виртуозно уходить от погони.",7.2,7.8,758000
311,Изгой-один: Звёздные войны. Истории,2016,США,"фантастика, боевик, приключения","Сопротивление собирает отряд для выполнения особой миссии - надо выкрасть чертежи самого совершенного и смертоносного оружия Империи. Возглавляет бойцов неуправляемая и бесстрашная Джин Эрсо, у которой в этом самоубийственном задании есть и личные мотивы. Не всем суждено вернуться домой, но герои готовы к этому, ведь на кону судьба Галактики.",7.3,7.8,751000
312,Хоббит: Пустошь Смауга,2013,"Новая Зеландия, США","фэнтези, приключения, боевик","Продолжение путешествия хоббита Бильбо Бэггинса, волшебника Гэндальфа и 13 отважных гномов. Их компания должна добраться до Одинокой горы. А там они встретятся с величайшей опасностью из всех — созданием куда более ужасающим, чем все их прошлые противники, чудовищем, которое проверит на прочность не только их мужество, но крепость их дружбы и правильность выбранного пути, — драконом Смаугом.",8.0,7.8,751000
313,Загадочная история Бенджамина Баттона,2008,США,"драма, фэнтези","Фильм о мужчине, который родился в возрасте 80 лет, а затем… начал молодеть. Этот человек, как и каждый из нас, не мог остановить время. Его путь в ХХI век, берущий свое начало в Новом Орлеане в 1918 году в самом конце Первой Мировой войны, будет столь необычен, что вряд ли мог иметь место в жизни кого-либо другого. Фильм повествует о судьбе уникального человека, о людях и событиях, что ждут его впереди, о любви, которую он обретет и потеряет, о радостях жизни и грусти потерь и о том, что остается с нами вне времени.",8.1,7.8,742000
314,Один дома,1990,США,"комедия, семейный","Американское семейство отправляется из Чикаго в Европу, но в спешке сборов бестолковые родители забывают дома... одного из своих детей. Юное создание, однако, не теряется и демонстрирует чудеса изобретательности. И когда в дом залезают грабители, им приходится не раз пожалеть о встрече с милым крошкой.",8.3,7.8,740000
315,Омерзительная восьмерка,2015,США,"вестерн, криминал, триллер, драма, детектив","США после Гражданской войны. Легендарный охотник за головами Джон Рут по кличке Вешатель конвоирует заключенную. По пути к ним прибиваются еще несколько путешественников. Снежная буря вынуждает компанию искать укрытие в лавке на отшибе, где уже расположилось весьма пёстрое общество: генерал конфедератов, мексиканец, ковбой… И один из них — не тот, за кого себя выдает.",8.0,7.8,719000
316,Изгой,2000,США,"драма, приключения","Инспектор логистической компании FedEx Чак Ноланд — трудоголик, у которого нет времени даже на собственную невесту. Во время очередной командировки самолет с Ноландом падает в Тихий океан. Чак, единственный, кому посчастливилось спастись, оказывается на необитаемом острове, где ему придется бороться за выживание.",8.3,7.8,686000
317,Дневник памяти,2004,США,"драма, мелодрама","Это история отношений юноши и девушки из разных социальных слоев, живших в Южной Каролине. Ной и Элли провели вместе незабываемое лето, пока их не разделили вначале родители, а затем Вторая мировая война.
После войны все изменилось: Элли обручилась с удачливым бизнесменом, а Ной жил наедине со своими воспоминаниями в старинном доме, который ему удалось отреставрировать. Когда Элли прочла об этом в местной газете, она поняла: ей нужно найти его и решить наконец судьбу их любви...",8.3,7.8,682000
318,Стрингер,2013,США,"триллер, драма, криминал","Луи Блум пытается найти работу. После того как он видит, как любительская съемочная группа снимает автомобильную аварию, он меняет ворованный велосипед на камеру и снимает последствия угона автомобиля, чтобы продать местной телевизионной компании. Директор новостей Нина покупает запись и убеждает его продолжить работу. Вскоре становится ясно, что ради по-настоящему стоящего материала Луи не остановится ни перед чем...",7.4,7.8,664000
319,Зомби по имени Шон,2004,"Великобритания, Франция, США","ужасы, комедия","В жизни Шона все идет наперекосяк: ему 29 лет, он работает обычным продавцом-консультантом, дома постоянные бытовые разборки с соседями, еще и подруга дает от ворот поворот. А тут еще начинается какая-то странная эпидемия — ожившие и очень голодные трупы начинают бродить по туманному Альбиону в поисках свежей человечинки, по ходу дела превращая граждан в таких же зомби. Шон вместе с другом Эдом вооружаются дубинами и лопатами и выходят на тропу войны.",7.3,7.8,637000
320,Назад в будущее 2,1989,США,"фантастика, приключения, боевик, комедия, семейный","Продолжение фантастической истории о приключениях американского подростка во времени. На этот раз с помощью модернизированной Доком машины времени Марти из 80-х попадает в будущее.

Дети Марти в беде, и их надо выручать. Приходится повозиться со злодеем...",8.3,7.8,618000
321,Идентификация Борна,2002,"США, Германия, Чехия","боевик, триллер, детектив","Команда итальянского рыболовецкого судна находит в водах Средиземного моря тело мужчины. У него два пулевых ранения в спине и имплантированный в бедро лазерный микропроектор с номером счёта швейцарского банка. Когда незнакомец приходит в себя, оказывается, что он не помнит, кто он и что с ним случилось, однако он может говорить на нескольких языках и обладает другими необычными способностями.
Добравшись до банка в Цюрихе, парень обнаруживает в своей ячейке огромную сумму денег, пистолет, парижский адрес и несколько паспортов на разные имена, одно из которых — Джейсон Борн. Пытаясь восстановить своё прошлое, он уговаривает немецкую студентку Мари отвезти его в Париж. Меж тем на след Борна уже вышло ЦРУ.",7.8,7.8,611000
322,Типа крутые легавые,2007,"Великобритания, Франция, США","боевик, триллер, комедия, детектив","Главный лондонский полицейский, констебль Николас Эйнджел переведен из города в тихий сельский городок Сэндфорд. Он пытается привыкнуть к этой мирной, и на первый взгляд лишенной преступности жизни, а также к туповатому напарнику Дэнни Баттерману. 
Однако серия ужасных происшествий потрясает городок, заставляя Эйнджела убедиться в том, что Сэндфорд - совсем не такой, каким кажется на первый взгляд. Мечты Дэнни о бурной, взрывоопасной, полной стрельбы и погонями жизни становятся все более и более реальными. Настало время для провинциальных полицейских вершить правосудие больших городов!",7.7,7.8,565000
323,Эдвард руки-ножницы,1990,США,"фэнтези, драма, мелодрама","Старый и одинокий учёный создал человеческое существо. Но не успел доделать его до конца и умер. У сотворённого им молодого человека не хватает рук — вместо них у него нечто вроде ножниц, и он вынужден жить в заброшенном доме в полном одиночестве. Однажды его обнаруживает женщина-коммивояжер и берет к себе жить. В новом доме Эдвард пытается социализироваться — подружиться с младшим сыном своей новой «мамы» и с её прекрасной дочерью.",8.0,7.8,563000
324,Маленькая мисс Счастье,2006,США,"драма, комедия","Олив - маленькая девочка, мечтающая победить на конкурсе «Маленькая мисс Счастье». Ее семья тоже хочет, чтобы мечта Олив осуществилась, но они столь обременены своими собственными причудами, неврозами, и проблемами, что едва могут ей помочь. 

Отец Олив, Ричард, почти не общается с дочерью, а лишь поддерживает отношения с ее матерью. Ее дядя Фрэнк, известный ученый, пытался покончить жизнь самоубийством после неудачного романа с аспирантом-мужчиной. Ее брат Двэйн, фанатический последователь Ницше, принял обет молчания, что еще больше отдалило его от семьи. Дедушка Олив хоть и наркоман, но он единственный человек в семье, кто готов помочь Олив подготовиться к конкурсу. 

И все сойдется к тому, что вся семья соберется вместе и отправится в далекую Калифорнию, чтобы Олив смогла участвовать в конкурсе «Маленькая мисс Счастье».",7.5,7.8,555000
325,Игра на понижение,2015,США,"драма, комедия, биография, история","2005 год. Изучая данные ипотек по стране, чудаковатый финансовый гений и управляющий хедж-фонда Scion Capital Майкл Бьюрри обращает внимание на одну деталь и приходит к выводу, что американский рынок ипотечных кредитов может скоро лопнуть. В связи с этим он страхует около миллиарда долларов своих клиентов через кредитный дефолтный своп. Клиенты фонда Бьюрри волнуются из-за возможных потерь, ведь рынок ипотечных кредитов представляется весьма стабильным, но Майкл твёрдо стоит на своём. Вскоре эту странную активность замечают несколько финансистов на Уолл-стрит. Изучив данные, они осознают, что опасения Бьюрри имеют под собой веские основания. Более того, сыграв на понижение, можно заработать миллионы.",7.4,7.8,535000
326,Девушка с татуировкой дракона,2011,"Швеция, США","детектив, триллер, драма, криминал","40 лет назад Харриет Вангер бесследно пропала на острове, принадлежащем могущественному клану Вангер. Тело так и не нашли, но её дядя убежден, что девушку убили, и что убийца является членом его собственной неблагополучной семьи. Он нанимает опального журналиста Микаэля Блумквиста и татуированную хакершу Лисбет Саландер для проведения расследования.",7.8,7.8,526000
327,Капитан Филлипс,2013,США,"триллер, драма, криминал, боевик","В начале апреля 2009 года близ берегов Африки несколько сомалийских пиратов атакуют и пытаются захватить массивный контейнеровоз MV Maersk Alabama. Команда корабля активно сопротивляется и в не даёт взять себя в плен. Захватчики вынуждены ретироваться и покинуть судно на небольшом катере, прихватив с собой капитана Ричарда Филлипса.",7.6,7.8,518000
328,Тренировочный день,2001,США,"триллер, драма, криминал","Джейк Хойт устраивается на работу в отдел по борьбе с наркотиками полиции Лос-Анджелеса. Его напарником становится опытный полицейский Алонзо Харисс, который в борьбе с преступностью далеко не всегда использует законные методы. И почти сразу Джейк оказывается вовлечённым в стремительный водоворот событий.",7.8,7.8,514000
329,Последний самурай,2003,"США, Новая Зеландия, Япония","боевик, драма","Япония, 1870-е годы. Нейтан Олгрен, капитан Армии США, нанят Императором Японии для обучения первой армии Страны Восходящего Солнца современному искусству ведения боевых действий.",8.1,7.8,503000
330,Хищник,1987,"США, Мексика","ужасы, боевик, фантастика","Американский вертолет был сбит партизанами в Южной Америке, оставшийся в живых экипаж попал в плен. ЦРУ бросает лучшие силы для освобождения американских граждан — элитная группа спецназа во главе с Датчем отправляется в южноамериканские джунгли. Но там немало повидавшим бойцам предстоит встретиться с невероятным ужасом.",7.9,7.8,498000
331,Звёздные войны: Пробуждение силы,2015,"США, Великобритания","фантастика, боевик, приключения","Через тридцать лет после гибели Дарта Вейдера и Императора галактика по-прежнему в опасности. Государственное образование Первый Орден во главе с таинственным верховным лидером Сноуком и его правой рукой Кайло Реном идёт по стопам Империи, пытаясь захватить всю власть. В это нелёгкое время судьба сводит юную девушку Рей и бывшего штурмовика Первого Ордена Финна с героями войны с Империей - Ханом Соло, Чубаккой и генералом Леей. Вместе они должны дать бой Первому Ордену, однако настаёт тот момент, когда становится очевидно, что лишь джедаи могут остановить Сноука и Кайло Рена.",7.1,7.7,1000000
332,Первый мститель: Другая война,2014,США,"фантастика, боевик, триллер, приключения","После беспрецедентных событий, впервые собравших вместе команду Мстителей, Стив Роджерс, известный также как Капитан Америка, оседает в Вашингтоне и пытается приспособиться к жизни в современном мире. Но покой этому герою только снится – пытаясь помочь коллеге из агентства Щ.И.Т., Стив оказывается в центре событий, грозящих катастрофой мирового масштаба. Для того, чтобы разоблачить злодейский заговор, Капитан Америка объединяется с Черной вдовой. К ним также присоединяется новый соратник, известный как Сокол, однако никто из них даже не подозревает, на что способен новый враг.",7.3,7.7,967000
333,Гарри Поттер и философский камень,2001,"Великобритания, США","фэнтези, приключения, семейный","Жизнь десятилетнего Гарри Поттера нельзя назвать сладкой: родители умерли, едва ему исполнился год, а от дяди и тёти, взявших сироту на воспитание, достаются лишь тычки да подзатыльники. Но в одиннадцатый день рождения Гарри всё меняется. Странный гость, неожиданно появившийся на пороге, приносит письмо, из которого мальчик узнаёт, что на самом деле он - волшебник и зачислен в школу магии под названием Хогвартс. А уже через пару недель Гарри будет мчаться в поезде Хогвартс-экспресс навстречу новой жизни, где его ждут невероятные приключения, верные друзья и самое главное — ключ к разгадке тайны смерти его родителей.",8.3,7.7,946000
334,Мальчишник в Вегасе,2009,США,комедия,"Они мечтали устроить незабываемый мальчишник в Вегасе. Но теперь им необходимо вспомнить, что именно произошло: что за ребенок сидит в шкафу номера отеля? Как в ванную попал тигр? Почему у одного из них нет зуба? И, самое главное, куда делся жених? То, что парни вытворяли на вечеринке, не идет ни в какое сравнение с тем, что им придется сделать на трезвую голову, когда они будут шаг за шагом восстанавливать события прошлой ночи.",7.9,7.7,924000
335,Звёздные войны: Эпизод 3 – Месть ситхов,2005,"США, Италия, Швейцария, Таиланд, Великобритания","фантастика, боевик, фэнтези, приключения","Идёт третий год Войн клонов. Галактическая Республика, некогда бывшая спокойным и гармоничным государством, превратилась в поле битвы между армиями клонов, возглавляемых канцлером Палпатином, и армадами дроидов, которых ведёт граф Дуку, тёмный лорд ситхов. Республика медленно погружается во тьму. Лишь рыцари-джедаи, защитники мира и справедливости, могут противостоять злу, которое вскоре поглотит галактику. Но настоящая битва идёт в душе у молодого рыцаря-джедая Энакина, который разрывается между долгом джедая и любовью к своей жене, сенатору Падме Амидале. И от того, какое чувство в нём победит, зависит будущее всего мира.",8.1,7.7,916000
336,Гравитация,2013,"США, Мексика, Великобритания","фантастика, триллер, драма","Доктор Райан Стоун, блестящий специалист в области медицинского инжиниринга, отправляется в свою первую космическую миссию под командованием ветерана астронавтики Мэтта Ковальски, для которого этот полет - последний перед отставкой. Но во время, казалось бы, рутинной работы за бортом случается катастрофа. 

Шаттл уничтожен, а Стоун и Ковальски остаются совершенно одни; они находятся в связке друг с другом, и все, что они могут, - это двигаться по орбите в абсолютно черном пространстве без всякой связи с Землей и какой-либо надежды на спасение.",7.4,7.7,897000
337,Kingsman: Секретная служба,2015,"Великобритания, США","боевик, комедия, приключения","Эггси прошел службу в морской пехоте и имеет высокий интеллект. Он мог бы добиться многого, но выбрал другой путь и стал мелким преступником. Однажды он знакомится с Гарри Хартом, которому его отец когда-то спас жизнь. Этот человек решает сделать жизнь Эггси лучше и открыть для него новые возможности. 
Гарри рассказывает, что является агентом секретной независимой организации, которая стоит на защите мира, и предлагает парню пройти обучение и стать новым членом их команды.",7.7,7.7,774000
338,Мой парень – псих,2012,США,"драма, мелодрама, комедия","Бывший школьный учитель Пэт, проведя в психиатрической больнице восемь месяцев, возвращается в родительский дом. Он одержим мыслью помириться с бывшей супругой, к которой не имеет права приближаться по решению суда. Но знакомство с эксцентричной девушкой Тиффани зажигает в Пэте лучик надежды.",7.2,7.7,771000
